month,temperature_celsius,feels_like_celsius,temperature_fahrenheit,feels_like_fahrenheit,wind_mph,wind_kph,gust_mph,gust_kph,humidity,cloud,visibility_km,visibility_miles,precip_mm,precip_in,pressure_mb,pressure_in,uv_index,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,last_updated_epoch,latitude,longitude,moon_illumination
2024-05,0.6754819712433577,0.7219568905047885,0.675228637955128,0.721755211770681,0.003641998330756208,0.003623016763201454,0.006316523908515653,0.006298222667624757,0.5898472791178326,0.3703820497271073,0.30722597028502124,0.30627812709457086,0.003797426011172961,0.003693366552930938,0.03208959114255592,0.03215260847369882,0.31191984731404415,0.2153627306585012,0.12627090344672456,0.023814179188809802,0.9510907662056826,0.010938360953350984,0.23861905642222947,0.07822922983626442,0.09453540866518428,0.014426811491329631,0.5749651857340727,0.5542933613314851,0.7878077622801698
2024-06,0.6930639111854161,0.735321425992307,0.6928223936938024,0.7351233277815367,0.0037669468127055094,0.0037485459721598507,0.006294200171514656,0.006275220412366005,0.5794695353602091,0.3746650594110556,0.30813888410539003,0.30804926903102425,0.0037132725133198533,0.003616325124849311,0.03154982100700252,0.031611814637064646,0.33710108701049396,0.21482188042986652,0.13226409924193194,0.02113350012254118,0.9510711170160399,0.010328420709767635,0.23826117132694055,0.07160323747201654,0.08759543080190574,0.0608673181998355,0.5734431956722658,0.5558008720340255,0.4953607714826933
2024-07,0.6977118481564959,0.7375715994936738,0.6974710996051875,0.737375220721342,0.0035258775818171524,0.0035070745091413873,0.005836222096289587,0.00581683670909382,0.5857775469980143,0.39182942125067194,0.3032823418742161,0.3032469185865577,0.0038669060475748176,0.0037508931983083658,0.0313361985206346,0.03140459320878699,0.35246668418154053,0.2137015557839789,0.13647149063322847,0.018807674272454042,0.950835022114935,0.00977675432650215,0.23793690960957609,0.06360867228095324,0.07921718529136554,0.12075110838166114,0.5726942381984395,0.5569545822438969,0.43570865436301737
2024-08,0.6975664968873798,0.736441550125213,0.6973245387231942,0.7362429465085648,0.0035038282304502926,0.0034854876662182375,0.0056841566382498715,0.005665170428116879,0.5886835131074761,0.38766253101736975,0.3021153846153846,0.302250663880545,0.003947821891370262,0.0038386797811593683,0.03156534828032105,0.031633140091532404,0.35281401756762926,0.21354941028656005,0.1394293165312579,0.01871955192265625,0.9510022249669231,0.008776262661444488,0.2374292517737373,0.062167080231596374,0.08004778972520908,0.18314351043108096,0.572852680289013,0.5566519495335499,0.4556112489660877
2024-09,0.6750931487503964,0.7169457533806752,0.6748606997730643,0.7167628763167371,0.0032748813651990224,0.003255838691463949,0.005201399911963563,0.005182236237678715,0.6256952576112411,0.39234972677595625,0.3074101349043716,0.30693665516249635,0.003956460739567793,0.0038370695898347403,0.032061279017614214,0.032124072067166075,0.32475736699185354,0.2129106631348175,0.14759235165929466,0.02441529048500617,0.95135978024638,0.01287432039511847,0.24002432533677337,0.1237704918032787,0.15040604128718882,0.24373631559671652,0.5724456823087107,0.5568182107271081,0.46063524590163935
2024-10,0.6374545487152586,0.6790477593888268,0.6372120418196218,0.6788717710000574,0.0029375346633208747,0.002918426616867907,0.004380822626323742,0.0043613441689357305,0.6599888128008677,0.4113970099667774,0.30292099252491694,0.30279769190417904,0.002977252277760982,0.00285994476243845,0.03285406101403929,0.03292317282576684,0.21072192894849476,0.21450774129618863,0.11613151363563791,0.04106189329155324,0.9516239776601124,0.015271634678742442,0.2405991190652468,0.15435215946843855,0.18951642672572905,0.304204292342565,0.5731993112889073,0.5578231809548557,0.44745016611295685
2024-11,0.5981722797227262,0.639112952739032,0.5979497358077022,0.6389521040047312,0.002906857448350091,0.002888320146408935,0.004531800980441341,0.004512177617041067,0.6727589437012556,0.42089565067904416,0.29524293020457276,0.2938483392597016,0.003213909661337444,0.0031161261860230944,0.03327421268554932,0.03334594458394276,0.15295658694475991,0.2177890664101132,0.11043147029400527,0.050991908577525155,0.9518486300618034,0.019316965138230033,0.24154439135900735,0.19329551315110882,0.254999713483468,0.3650393288401471,0.5732779519292914,0.5581902684065725,0.4726250644662197
2024-12,0.5755991110307422,0.6146926088133163,0.5753656670424093,0.6145515585550259,0.0032174496964266545,0.0031983006667902617,0.004998969172307007,0.004979367475942428,0.650824597829206,0.42804466501240696,0.29249741521918937,0.29140220277741496,0.002629035391132151,0.0025202547161350046,0.03354941548552599,0.03361789810538156,0.15247098702471745,0.2168003264011217,0.1329258079830162,0.0457884025061048,0.952060022220304,0.02091140648387289,0.24393965852798674,0.20195202646815552,0.2726036209907178,0.425643365718046,0.5728522400943453,0.5566530973681812,0.4649214226633581
2025-01,0.570752010023265,0.611033935342691,0.5705334146113756,0.6108911348834574,0.0031963142892995617,0.0031777363511381177,0.0049881950614252815,0.004968594391541626,0.6645820166228328,0.4151998001998002,0.28903752497502494,0.28640657588026003,0.002967991604355226,0.0028595902089877923,0.033507450943099266,0.03357274200885445,0.16098318859055052,0.2172244962444121,0.13402553344304952,0.04977922747504225,0.952151066006715,0.021944144059573907,0.24385101604273896,0.21528471528471532,0.2957967957967958,0.48737166429729,0.573548861759388,0.5583080673723133,0.4795837495837496
2025-02,0.5711833183839202,0.6115440448111713,0.5709665782831509,0.6114074428929672,0.003307782840842836,0.0032888813134958304,0.005019682197165463,0.00500015207079779,0.6541233315756209,0.4199010445299615,0.29159050302363937,0.288755147902742,0.0026067696619854245,0.0024959651690875584,0.0340675739142252,0.034133932609786165,0.18239420072828166,0.21631473136817575,0.14181871399670298,0.045112310675222214,0.9518989778677832,0.021595141426606842,0.24418400905864776,0.21729888216969034,0.2916946633274286,0.545899955621355,0.5729286832621227,0.5566443508759565,0.5437969580355506
