,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
latitude,97824.0,0.5732299105539866,0.23192741578462467,0.0,0.427216690374585,0.555239449976292,0.7747747747747746,1.0,-0.3057319630681322,-0.7461549672257819
longitude,97824.0,0.5567137751713503,0.18570936326493995,0.0,0.4750406297613002,0.5601170927148582,0.6370407990519723,1.0000000000000002,0.0030809728141258917,0.33251996907620773
last_updated_epoch,97824.0,0.501188142996004,0.2893103908335251,0.0,0.2526769256259982,0.5011908953461841,0.7515688751734544,1.0,-0.00900443915894004,-1.194076054676866
temperature_celsius,97824.0,0.6434996923059265,0.119976911323755,0.0,0.5802968960863698,0.6734143049932524,0.7179487179487181,1.0,-0.7994619174595929,0.9063314074267304
temperature_fahrenheit,97824.0,0.6432662287600066,0.11995750693253822,0.0,0.5802098950524737,0.6731634182908546,0.7173913043478262,1.0,-0.7994071059905306,0.9061741093062174
wind_mph,97824.0,0.0032831270879570083,0.004280262692726333,0.0,0.0009787928221859,0.0025557368134855,0.0050027188689505,1.0,129.61415629743263,30062.026488083968
wind_kph,97824.0,0.003264137511973985,0.004279432226427593,0.0,0.0009798621435329,0.0025679145830517,0.0050006757669955,1.0,129.6972959557531,30087.66365499563
wind_degree,97824.0,0.47311176436016517,0.28611919755500276,0.0,0.2284122562674094,0.4568245125348189,0.7103064066852368,1.0,0.15173452466846543,-1.1642920503503777
pressure_mb,97824.0,0.03252837102022869,0.005521932843165577,0.0,0.0305973773676542,0.0320543953375425,0.0344827586206896,1.0,109.49916586697914,19148.688223810943
pressure_in,97824.0,0.032594199627673834,0.005520326150281902,0.0,0.0307515211313928,0.0322315408649893,0.0343693471468508,1.0,109.56811995503323,19163.9519683233
precip_mm,97824.0,0.003337648539027403,0.014213980692231055,0.0,0.0,0.0,0.0007102272727272,1.0,18.311080100674666,672.9113209670703
precip_in,97824.0,0.003226042048468646,0.014291243752811737,0.0,0.0,0.0,0.0,1.0,18.149776358523393,663.0911047316995
humidity,97824.0,0.6345736282736842,0.24678100079053014,0.0,0.4591836734693877,0.683673469387755,0.8265306122448979,1.0,-0.5429818951456474,-0.6548264493265514
cloud,97824.0,0.39350128802747786,0.3375005479292848,0.0,0.0,0.26,0.75,1.0,0.2573499142800927,-1.3377331749624701
feels_like_celsius,97824.0,0.6846719878001534,0.12213068493708569,0.0,0.618663594470046,0.7096774193548386,0.7649769585253455,1.0,-0.8029059472311765,0.8425470389741143
feels_like_fahrenheit,97824.0,0.6844958648234201,0.12207230454317769,0.0,0.618682021753039,0.708893154190659,0.7645553422904671,1.0,-0.8026337818879373,0.8417949148932284
visibility_km,97824.0,0.30121793987160617,0.07864251184897256,0.0,0.3125,0.3125,0.3125,1.0,1.4643126167004128,15.765444375904416
visibility_miles,97824.0,0.30029440628066734,0.08232759672373696,0.0,0.3157894736842105,0.3157894736842105,0.3157894736842105,1.0,0.9157602542876387,12.676733977810665
uv_index,97824.0,0.2380556742947394,0.22199741288685604,0.0,0.0306748466257668,0.1840490797546012,0.4233128834355828,1.0,0.6859472069931086,-0.455940042899436
gust_mph,97824.0,0.005056664980061009,0.004943601691306221,0.0,0.0023325196636832,0.0041768375372931,0.0070518036343911,1.0,84.03085013996214,16773.84720336797
gust_kph,97824.0,0.005037357609689808,0.004943661234740154,0.0,0.002325738169071,0.0041458810839962,0.0070109208574895,1.0,84.03253002376196,16774.34058890712
air_quality_Carbon_Monoxide,97824.0,0.215139611476916,0.017255640495216565,0.0,0.2094176654480369,0.2112681761787691,0.214939532183522,1.0,12.806432820687293,314.1105198713449
air_quality_Ozone,97824.0,0.1304413175700114,0.06706979398038695,0.0,0.0873725816517578,0.1248179737882255,0.1643436654878302,1.0,1.2297052029577842,5.455271953160732
air_quality_Nitrogen_dioxide,97824.0,0.036963520070954825,0.06089284194034318,0.0,0.0030278232405891,0.0116787467851297,0.0419569791910217,1.0,3.052355023476206,12.578348085969761
air_quality_Sulphur_dioxide,97824.0,0.9515148790172214,0.0038717334002436924,0.0,0.9505215140589696,0.9506740758132112,0.9513071358027744,1.0,-150.56426110666993,37295.869184370364
air_quality_PM2.5,97824.0,0.01608301239502618,0.025261198053124455,0.0,0.0044809818505364,0.0092953110787815,0.0184654619897244,1.0,8.833809608426288,161.21920513061042
air_quality_PM10,97824.0,0.2411795168214519,0.02078451911097996,0.0,0.2357446128560993,0.2371668543543543,0.2402167792792792,1.0,16.09058634050214,376.25048697736327
air_quality_us-epa-index,97824.0,0.15190137389597644,0.19620324962565353,0.0,0.0,0.0,0.2,1.0000000000000002,1.4481257524953193,1.9269487595136732
air_quality_gb-defra-index,97824.0,0.195398538872533,0.2850511988751519,0.0,0.0,0.1111111111111111,0.2222222222222222,1.0,1.83888143702301,2.3201389567981514
moon_illumination,97824.0,0.4971707351979065,0.35022708506881384,0.0,0.15,0.5,0.84,1.0,0.007369598096192398,-1.4816518700506625
